live_detail_id,live_id,sort,color,performers,special_keys,jp_name,name,difficulty,level,duration,Tap,Long,Flick,Slide
583,326,2004,3,"Honda Mio, Takamori Aiko, Hino Akane",,情熱ファンファンファーレ,Jounetsu Fun Fanfare,2,13,120.0,129,58,0,0
584,326,2004,3,"Honda Mio, Takamori Aiko, Hino Akane",,情熱ファンファンファーレ,Jounetsu Fun Fanfare,3,19,120.0,261,38,108,0
585,326,2004,3,"Honda Mio, Takamori Aiko, Hino Akane",,情熱ファンファンファーレ,Jounetsu Fun Fanfare,4,26,120.0,374,67,259,0
586,79,3030,3,Hori Yuko,solo,ミラクルテレパシー,Miracle Telepathy,1,7,131.791908,68,48,0,0
587,79,3030,3,Hori Yuko,solo,ミラクルテレパシー,Miracle Telepathy,2,13,131.791908,175,48,0,0
588,79,3030,3,Hori Yuko,solo,ミラクルテレパシー,Miracle Telepathy,3,19,131.791908,324,58,30,0
589,79,3030,3,Hori Yuko,solo,ミラクルテレパシー,Miracle Telepathy,4,26,131.791908,444,88,163,0
595,327,9012,4,"Kobayakawa Sae, Domyoji Karin, Wakiyama Tamami, Yorita Yoshino, Hamaguchi Ayame",,桜の頃,Sakura no Koro,1,8,134.634146,105,26,0,0
596,327,9012,4,"Kobayakawa Sae, Domyoji Karin, Wakiyama Tamami, Yorita Yoshino, Hamaguchi Ayame",,桜の頃,Sakura no Koro,2,14,134.634146,164,34,0,0
597,327,9012,4,"Kobayakawa Sae, Domyoji Karin, Wakiyama Tamami, Yorita Yoshino, Hamaguchi Ayame",,桜の頃,Sakura no Koro,3,19,134.634146,162,160,24,0
598,327,9012,4,"Kobayakawa Sae, Domyoji Karin, Wakiyama Tamami, Yorita Yoshino, Hamaguchi Ayame",,桜の頃,Sakura no Koro,4,26,134.634146,157,119,241,0
599,802,8002,4,"Ogata Chieri, Tada Riina, Jougasaki Rika",collab,エンジェル ドリーム,Angel Dream,1,9,125.333333,107,20,0,0
600,802,8002,4,"Ogata Chieri, Tada Riina, Jougasaki Rika",collab,エンジェル ドリーム,Angel Dream,2,13,125.333333,206,20,0,0
601,802,8002,4,"Ogata Chieri, Tada Riina, Jougasaki Rika",collab,エンジェル ドリーム,Angel Dream,3,17,125.333333,294,16,39,0
602,802,8002,4,"Ogata Chieri, Tada Riina, Jougasaki Rika",collab,エンジェル ドリーム,Angel Dream,4,26,125.333333,638,24,103,0
608,328,2005,4,"Hayasaka Mirei, Morikubo Nono, Hoshi Syoko",,∀NSWER,ANSWER,1,7,122.022472,58,32,0,0
609,328,2005,4,"Hayasaka Mirei, Morikubo Nono, Hoshi Syoko",,∀NSWER,ANSWER,2,13,122.022472,157,44,0,0
610,328,2005,4,"Hayasaka Mirei, Morikubo Nono, Hoshi Syoko",,∀NSWER,ANSWER,3,18,122.022472,240,94,8,0
611,328,2005,4,"Hayasaka Mirei, Morikubo Nono, Hoshi Syoko",,∀NSWER,ANSWER,4,26,122.022472,423,109,88,0
612,80,3045,1,Igarashi Kyoko,solo,恋のHamburg♪,Koi no Hamburg♪,1,7,122.823529,92,18,0,0
613,80,3045,1,Igarashi Kyoko,solo,恋のHamburg♪,Koi no Hamburg♪,2,13,122.823529,188,28,0,0
614,80,3045,1,Igarashi Kyoko,solo,恋のHamburg♪,Koi no Hamburg♪,3,17,122.823529,288,28,8,0
615,80,3045,1,Igarashi Kyoko,solo,恋のHamburg♪,Koi no Hamburg♪,4,25,122.823529,438,86,62,0
621,329,5027,1,"Kohinata Miho, Kamijo Haruna, Akagi Miria, Aiba Yumi, Jougasaki Mika",,shabon song,shabon song,1,7,122.482759,36,46,0,0
622,329,5027,1,"Kohinata Miho, Kamijo Haruna, Akagi Miria, Aiba Yumi, Jougasaki Mika",,shabon song,shabon song,2,13,122.482759,125,38,0,0
623,329,5027,1,"Kohinata Miho, Kamijo Haruna, Akagi Miria, Aiba Yumi, Jougasaki Mika",,shabon song,shabon song,3,17,122.482759,199,82,14,0
624,329,5027,1,"Kohinata Miho, Kamijo Haruna, Akagi Miria, Aiba Yumi, Jougasaki Mika",,shabon song,shabon song,4,25,122.482759,375,133,65,0
629,54,9003,4,"Ichinose Shiki, Miyamoto Frederica, Shiomi Syuko, Hayami Kanade, Jougasaki Mika",,Tulip,Tulip,5,30,129.3506494,293,149,392,34
630,307,9007,4,"Kohinata Miho, Ogata Chieri, Sakuma Mayu, Tada Riina, Hojo Karen",,Love∞Destiny,Love Destiny,5,29,126.26087,356,34,282,67
631,23,5005,1,"Mimura Kanako, Ogata Chieri, Futaba Anzu",,Happy×2 Days,Happy×2 Days,5,27,129.230769,361,94,83,123
632,61,1020,4,"Shimamura Uzuki, Ichinose Shiki, Maekawa Miku, Shibuya Rin, Takagaki Kaede, Shiomi Syuko, Aiba Yumi, Jougasaki Mika, Mukai Takumi",,Absolute NIne,Absolute NIne,5,30,123.428571,629,88,282,0
633,302,9005,4,"Nitta Minami, Tachibana Arisu, Sagisawa Fumika, Takamori Aiko, Aiba Yumi",,生存本能ヴァルキュリア,Seizon Honnou Valkyria,5,30,128.089888,594,47,211,101
634,25,5007,2,"Nitta Minami, Anastasia",,Memories,Memories,5,26,121.846154,361,46,45,151
640,330,5026,2,"Kawashima Mizuki, Nitta Minami, Matsunaga Ryo, Takagaki Kaede, Hayami Kanade",,Nocturne,Nocturne,1,8,126.984127,67,54,0,0
641,330,5026,2,"Kawashima Mizuki, Nitta Minami, Matsunaga Ryo, Takagaki Kaede, Hayami Kanade",,Nocturne,Nocturne,2,13,126.984127,143,44,0,0
642,330,5026,2,"Kawashima Mizuki, Nitta Minami, Matsunaga Ryo, Takagaki Kaede, Hayami Kanade",,Nocturne,Nocturne,3,19,126.984127,265,128,26,0
643,330,5026,2,"Kawashima Mizuki, Nitta Minami, Matsunaga Ryo, Takagaki Kaede, Hayami Kanade",,Nocturne,Nocturne,4,26,126.984127,221,196,161,0
644,81,3043,2,Ninomiya Asuka,solo,共鳴世界の存在論,Kyoumei Sekai no Ontology,1,8,123.789474,90,14,0,0
645,81,3043,2,Ninomiya Asuka,solo,共鳴世界の存在論,Kyoumei Sekai no Ontology,2,13,123.789474,178,22,0,0
646,81,3043,2,Ninomiya Asuka,solo,共鳴世界の存在論,Kyoumei Sekai no Ontology,3,19,123.789474,384,24,6,0
647,81,3043,2,Ninomiya Asuka,solo,共鳴世界の存在論,Kyoumei Sekai no Ontology,4,27,123.789474,558,64,193,0
653,331,9013,4,"Nakano Yuka, Maekawa Miku, Kamiya Nao, Anastasia, Hoshi Syoko",,Nothing but You,Nothing but You,1,7,135.08982,72,38,0,0
654,331,9013,4,"Nakano Yuka, Maekawa Miku, Kamiya Nao, Anastasia, Hoshi Syoko",,Nothing but You,Nothing but You,2,13,135.08982,157,44,0,0
655,331,9013,4,"Nakano Yuka, Maekawa Miku, Kamiya Nao, Anastasia, Hoshi Syoko",,Nothing but You,Nothing but You,3,17,135.08982,240,132,20,0
656,331,9013,4,"Nakano Yuka, Maekawa Miku, Kamiya Nao, Anastasia, Hoshi Syoko",,Nothing but You,Nothing but You,4,26,135.08982,374,188,175,0
657,27,5009,3,"Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,LET'S GO HAPPY!!,LET'S GO HAPPY!!,5,29,131.25,649,43,246,48
658,62,9004,4,"Sakurai Momoka, Sasaki Chie, Ryuzaki Kaoru, Akagi Miria, Ichihara Nina",,ハイファイ☆デイズ,Hi-fi☆Days,5,28,127.225131,548,52,180,20
659,306,9006,4,"Fujimoto Rina, Matsunaga Ryo, Yamato Aki, Kimura Natsuki, Mukai Takumi",,純情Midnight伝説,Junjou Midnight Densetsu,5,29,127.719298,614,32,260,21
660,82,3041,3,Ootsuki Yui,solo,Radio Happy,Radio Happy,1,7,129.090909,59,46,0,0
661,82,3041,3,Ootsuki Yui,solo,Radio Happy,Radio Happy,2,13,129.090909,233,30,0,0
662,82,3041,3,Ootsuki Yui,solo,Radio Happy,Radio Happy,3,19,129.090909,323,47,24,0
663,82,3041,3,Ootsuki Yui,solo,Radio Happy,Radio Happy,4,27,129.090909,409,104,226,0
664,303,1022,1,"Nakano Yuka, Igarashi Kyoko, Sakurai Momoka, Ichinose Shiki, Miyamoto Frederica",,明日また会えるよね,Ashita Mata Aeru yo ne,5,28,124.965517,591,52,94,83
665,312,1028,4,"Nakano Yuka, Igarashi Kyoko, Sakurai Momoka, Ichinose Shiki, Miyamoto Frederica, Tachibana Arisu, Sagisawa Fumika, Shiomi Syuko, Hayami Kanade, Ninomiya Asuka, Ootsuki Yui, Himekawa Yuki, Katagiri Sanae, Aiba Yumi, Ichihara Nina",,Near to You,Near to You,5,29,128.275862,479,136,216,39
666,18,3010,1,Maekawa Miku,solo,おねだり Shall We ～?,Onedari Shall We~?,5,27,124.864865,338,154,103,88
667,304,1023,2,"Tachibana Arisu, Sagisawa Fumika, Shiomi Syuko, Hayami Kanade, Ninomiya Asuka",,咲いてJewel,Saite Jewel,5,29,132.272727,719,60,128,16
668,313,9009,4,"Ogata Chieri, Kawashima Mizuki, Hojo Karen, Ootsuki Yui, Jougasaki Rika",,BEYOND THE STARLIGHT,BEYOND THE STARLIGHT,5,29,120.685714,493,100,168,50
669,28,3014,2,Tada Riina,solo,Twilight Sky,Twilight Sky,5,27,122.727273,414,62,118,164
675,332,2006,3,"Oikawa Shizuku, Katagiri Sanae, Hori Yuko",,モーレツ★世直しギルティ !,Mouretsu★Yonaoshi Guilty!,1,7,124.444444,77,36,0,0
676,332,2006,3,"Oikawa Shizuku, Katagiri Sanae, Hori Yuko",,モーレツ★世直しギルティ !,Mouretsu★Yonaoshi Guilty!,2,13,124.444444,163,44,0,0
677,332,2006,3,"Oikawa Shizuku, Katagiri Sanae, Hori Yuko",,モーレツ★世直しギルティ !,Mouretsu★Yonaoshi Guilty!,3,18,124.444444,310,79,54,0
678,332,2006,3,"Oikawa Shizuku, Katagiri Sanae, Hori Yuko",,モーレツ★世直しギルティ !,Mouretsu★Yonaoshi Guilty!,4,26,124.444444,275,124,344,0
679,323,5018,2,"Nitta Minami, Kanzaki Ranko, Anastasia",,この空の下,Kono Sora no Shita,1,6,129.6,51,28,0,0
680,323,5018,2,"Nitta Minami, Kanzaki Ranko, Anastasia",,この空の下,Kono Sora no Shita,2,13,129.6,75,44,0,0
681,323,5018,2,"Nitta Minami, Kanzaki Ranko, Anastasia",,この空の下,Kono Sora no Shita,3,17,129.6,212,52,10,0
682,323,5018,2,"Nitta Minami, Kanzaki Ranko, Anastasia",,この空の下,Kono Sora no Shita,4,23,129.6,268,123,22,0
688,333,9014,4,"Mizumoto Yukari, Igarashi Kyoko, Otokura Yuuki, Himekawa Yuki, Moroboshi Kirari",,With Love,With Love,1,6,125.454545,47,42,0,0
689,333,9014,4,"Mizumoto Yukari, Igarashi Kyoko, Otokura Yuuki, Himekawa Yuki, Moroboshi Kirari",,With Love,With Love,2,12,125.454545,125,34,0,0
690,333,9014,4,"Mizumoto Yukari, Igarashi Kyoko, Otokura Yuuki, Himekawa Yuki, Moroboshi Kirari",,With Love,With Love,3,16,125.454545,231,52,12,0
691,333,9014,4,"Mizumoto Yukari, Igarashi Kyoko, Otokura Yuuki, Himekawa Yuki, Moroboshi Kirari",,With Love,With Love,4,25,125.454545,363,132,70,0
692,17,3009,3,Jougasaki Rika,solo,DOKIDOKIリズム,DOKIDOKI Rhythm,5,28,121.333333,553,18,92,162
693,305,1024,3,"Ootsuki Yui, Himekawa Yuki, Katagiri Sanae, Aiba Yumi, Ichihara Nina",,きみにいっぱい☆,Kimi ni Ippai☆,5,28,122.727273,520,173,121,17
694,308,9008,4,"Kawashima Mizuki, Ueda Suzuho, Hori Yuko, Hino Akane, Nanba Emi",,サマカニ ! !,Samakani !!,5,30,124.054054,559,76,321,23
700,334,9901,4,"Sakurai Momoka, Sasaki Chie, Ryuzaki Kaoru, Akagi Miria, Ichihara Nina",,Yes! Party Time!!,Yes! Party Time!!,1,8,124.864865,115,22,0,0
701,334,9901,4,"Sakurai Momoka, Sasaki Chie, Ryuzaki Kaoru, Akagi Miria, Ichihara Nina",,Yes! Party Time!!,Yes! Party Time!!,2,13,124.864865,181,32,0,0
702,334,9901,4,"Sakurai Momoka, Sasaki Chie, Ryuzaki Kaoru, Akagi Miria, Ichihara Nina",,Yes! Party Time!!,Yes! Party Time!!,3,19,124.864865,348,27,30,0
703,334,9901,4,"Sakurai Momoka, Sasaki Chie, Ryuzaki Kaoru, Akagi Miria, Ichihara Nina",,Yes! Party Time!!,Yes! Party Time!!,4,25,124.864865,477,61,150,0
704,314,2001,1,"Shimamura Uzuki, Kohinata Miho, Igarashi Kyoko",,ラブレター,Love Letter,5,29,127.924528,523,193,55,22
705,319,1029,4,"Ichinose Shiki, Maekawa Miku, Kanzaki Ranko, Ninomiya Asuka, Jougasaki Mika",,EVERMORE,EVERMORE,5,29,123.333333,408,148,250,53
706,19,5001,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,Star!!,Star!!,5,30,126.741573,291,164,402,93
707,316,2002,2,"Tada Riina, Kimura Natsuki",,Jet to the Future,Jet to the Future,5,29,124.0,306,26,423,49
708,315,5028,4,"Shimamura Uzuki, Shibuya Rin, Kamiya Nao, Hojo Karen, Honda Mio",,STORY,STORY,5,28,126.486486,336,92,201,137
709,55,9002,4,"Shimamura Uzuki, Shibuya Rin, Kamijo Haruna, Honda Mio, Ootsuki Yui",,Snow Wings,Snow Wings,5,30,115.598802,479,30,213,140
710,318,5030,3,"Domyoji Karin, Wakiyama Tamami, Takamori Aiko, Oikawa Shizuku, Hino Akane",,Flip Flop,Flip Flop,5,29,121.0,650,131,83,0
711,321,9010,4,"Abe Nana, Mifune Miyu, Takagaki Kaede, Katagiri Sanae, Sato Shin",,命燃やして恋せよ乙女,Inochi Moyashite Koiseyo Otome,5,29,125.0,454,34,179,71
712,2,1002,4,"Koshimizu Sachiko, Shibuya Rin, Takagaki Kaede, Kanzaki Ranko, Anastasia",,輝く世界の魔法,Kagayaku Sekai no Mahou,5,28,124.186047,303,93,153,153
718,335,9015,4,"Futaba Anzu, Hayasaka Mirei, Shirasaka Koume, Ninomiya Asuka, Jougasaki Rika",,リトルリドル,Little Riddle,1,8,127.272727,57,64,0,0
719,335,9015,4,"Futaba Anzu, Hayasaka Mirei, Shirasaka Koume, Ninomiya Asuka, Jougasaki Rika",,リトルリドル,Little Riddle,2,14,127.272727,165,68,0,0
720,335,9015,4,"Futaba Anzu, Hayasaka Mirei, Shirasaka Koume, Ninomiya Asuka, Jougasaki Rika",,リトルリドル,Little Riddle,3,18,127.272727,337,46,28,0
721,335,9015,4,"Futaba Anzu, Hayasaka Mirei, Shirasaka Koume, Ninomiya Asuka, Jougasaki Rika",,リトルリドル,Little Riddle,4,26,127.272727,218,117,317,0
722,83,3022,1,Koshimizu Sachiko,solo,To my darling...,To my darling...,1,7,126.614173,52,48,0,0
723,83,3022,1,Koshimizu Sachiko,solo,To my darling...,To my darling...,2,13,126.614173,142,58,0,0
724,83,3022,1,Koshimizu Sachiko,solo,To my darling...,To my darling...,3,17,126.614173,248,78,24,0
725,83,3022,1,Koshimizu Sachiko,solo,To my darling...,To my darling...,4,24,126.614173,322,75,103,0
731,336,2007,1,"Nakano Yuka, Mizumoto Yukari, Shiina Noriko",,Kawaii make MY day!,Kawaii make MY day!,1,8,118.195489,98,28,0,0
732,336,2007,1,"Nakano Yuka, Mizumoto Yukari, Shiina Noriko",,Kawaii make MY day!,Kawaii make MY day!,2,14,118.195489,201,24,0,0
733,336,2007,1,"Nakano Yuka, Mizumoto Yukari, Shiina Noriko",,Kawaii make MY day!,Kawaii make MY day!,3,18,118.195489,325,45,6,0
734,336,2007,1,"Nakano Yuka, Mizumoto Yukari, Shiina Noriko",,Kawaii make MY day!,Kawaii make MY day!,4,26,118.195489,492,101,68,0
735,319,1029,4,"Ichinose Shiki, Maekawa Miku, Kanzaki Ranko, Ninomiya Asuka, Jougasaki Mika",,EVERMORE,EVERMORE,101,29,123.333333,408,203,250,0
736,54,9003,4,"Ichinose Shiki, Miyamoto Frederica, Shiomi Syuko, Hayami Kanade, Jougasaki Mika",,Tulip,Tulip,101,30,129.3506494,292,183,394,0
737,307,9007,4,"Kohinata Miho, Ogata Chieri, Sakuma Mayu, Tada Riina, Hojo Karen",,Love∞Destiny,Love Destiny,101,29,126.26087,360,59,300,0
738,314,2001,1,"Shimamura Uzuki, Kohinata Miho, Igarashi Kyoko",,ラブレター,Love Letter,101,29,127.924528,525,217,49,0
739,312,1028,4,"Nakano Yuka, Igarashi Kyoko, Sakurai Momoka, Ichinose Shiki, Miyamoto Frederica, Tachibana Arisu, Sagisawa Fumika, Shiomi Syuko, Hayami Kanade, Ninomiya Asuka, Ootsuki Yui, Himekawa Yuki, Katagiri Sanae, Aiba Yumi, Ichihara Nina",,Near to You,Near to You,101,29,128.275862,478,167,213,0
740,38,5011,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,夢色ハーモニー,Yumeiro Harmony,101,29,128.0898876,390,200,187,0
741,61,1020,4,"Shimamura Uzuki, Ichinose Shiki, Maekawa Miku, Shibuya Rin, Takagaki Kaede, Shiomi Syuko, Aiba Yumi, Jougasaki Mika, Mukai Takumi",,Absolute NIne,Absolute NIne,101,30,123.428571,629,88,282,0
742,302,9005,4,"Nitta Minami, Tachibana Arisu, Sagisawa Fumika, Takamori Aiko, Aiba Yumi",,生存本能ヴァルキュリア,Seizon Honnou Valkyria,101,30,128.089888,593,127,211,0
743,313,9009,4,"Ogata Chieri, Kawashima Mizuki, Hojo Karen, Ootsuki Yui, Jougasaki Rika",,BEYOND THE STARLIGHT,BEYOND THE STARLIGHT,101,29,120.685714,499,135,180,0
744,316,2002,2,"Tada Riina, Kimura Natsuki",,Jet to the Future,Jet to the Future,101,29,124.0,306,55,423,0
745,304,1023,2,"Tachibana Arisu, Sagisawa Fumika, Shiomi Syuko, Hayami Kanade, Ninomiya Asuka",,咲いてJewel,Saite Jewel,101,28,132.272727,660,90,72,0
746,45,5024,4,"Shimamura Uzuki, Shibuya Rin, Honda Mio",,流れ星キセキ,Nagareboshi Kiseki,101,29,129.655172,483,103,228,0
747,315,5028,4,"Shimamura Uzuki, Shibuya Rin, Kamiya Nao, Hojo Karen, Honda Mio",,STORY,STORY,101,28,126.486486,554,162,55,0
748,62,9004,4,"Sakurai Momoka, Sasaki Chie, Ryuzaki Kaoru, Akagi Miria, Ichihara Nina",,ハイファイ☆デイズ,Hi-fi☆Days,101,28,127.225131,547,75,173,0
749,306,9006,4,"Fujimoto Rina, Matsunaga Ryo, Yamato Aki, Kimura Natsuki, Mukai Takumi",,純情Midnight伝説,Junjou Midnight Densetsu,101,29,127.719298,614,48,260,0
750,308,9008,4,"Kawashima Mizuki, Ueda Suzuho, Hori Yuko, Hino Akane, Nanba Emi",,サマカニ ! !,Samakani !!,101,30,124.054054,567,88,316,0
751,321,9010,4,"Abe Nana, Mifune Miyu, Takagaki Kaede, Katagiri Sanae, Sato Shin",,命燃やして恋せよ乙女,Inochi Moyashite Koiseyo Otome,101,29,125.0,453,84,202,0
752,50,1018,4,"Mimura Kanako, Ogata Chieri, Kobayakawa Sae, Koshimizu Sachiko, Sakuma Mayu, Kawashima Mizuki, Kamiya Nao, Hojo Karen, Shirasaka Koume, Anastasia, Takamori Aiko, Hoshi Syoko, Hori Yuko, Hino Akane, Totoki Airi",,ゴキゲンParty Night,Gokigen Party Night,101,29,126.171428,557,98,245,0
753,305,1024,3,"Ootsuki Yui, Himekawa Yuki, Katagiri Sanae, Aiba Yumi, Ichihara Nina",,きみにいっぱい☆,Kimi ni Ippai☆,101,28,122.727273,469,192,119,0
754,318,5030,3,"Domyoji Karin, Wakiyama Tamami, Takamori Aiko, Oikawa Shizuku, Hino Akane",,Flip Flop,Flip Flop,101,29,121.0,623,146,75,0
755,84,3035,3,Ichihara Nina,solo,みんなのきもち,Minna no Kimochi,1,6,124.195804,31,54,0,0
756,84,3035,3,Ichihara Nina,solo,みんなのきもち,Minna no Kimochi,2,12,124.195804,111,42,0,0
757,84,3035,3,Ichihara Nina,solo,みんなのきもち,Minna no Kimochi,3,17,124.195804,286,24,6,0
758,84,3035,3,Ichihara Nina,solo,みんなのきもち,Minna no Kimochi,4,24,124.195804,393,46,121,0
764,338,1031,4,"Maekawa Miku, Mifune Miyu, Morikubo Nono, Yorita Yoshino, Sato Shin",,Take me☆Take you,Take me☆Take you,1,7,122.666667,48,50,0,0
765,338,1031,4,"Maekawa Miku, Mifune Miyu, Morikubo Nono, Yorita Yoshino, Sato Shin",,Take me☆Take you,Take me☆Take you,2,13,122.666667,109,74,0,0
766,338,1031,4,"Maekawa Miku, Mifune Miyu, Morikubo Nono, Yorita Yoshino, Sato Shin",,Take me☆Take you,Take me☆Take you,3,18,122.666667,191,150,40,0
767,338,1031,4,"Maekawa Miku, Mifune Miyu, Morikubo Nono, Yorita Yoshino, Sato Shin",,Take me☆Take you,Take me☆Take you,4,24,122.666667,346,173,51,0
768,317,5029,4,"Mizumoto Yukari, Mimura Kanako, Kobayakawa Sae, Sakuma Mayu, Hayami Kanade",,あいくるしい,Aikurushii,5,28,130.714286,223,72,172,189
769,12,3004,1,Ogata Chieri,solo,風色メロディ,Kazeiro Melody,5,27,129.333333,168,54,115,175
770,324,5031,2,"Kobayakawa Sae, Koshimizu Sachiko, Shirasaka Koume, Himekawa Yuki, Hoshi Syoko",,Lunatic Show,Lunatic Show,5,29,118.758621,600,70,93,25
771,13,3005,2,Kanzaki Ranko,solo,華蕾夢ミル狂詩曲 ～魂ノ導～,Tsubomi Yumemiru Rapsodia ~Alma no Michibiki~,5,29,123.913043,585,99,213,53
772,325,9011,4,"Shiina Noriko, Mimura Kanako, Morikubo Nono, Oikawa Shizuku, Totoki Airi",,Sweet Witches' Night ～6人目はだぁれ～,Sweet Witches' Night ~Rokuninme wa Daare~,5,29,123.947368,316,137,289,46
773,14,3006,3,Moroboshi Kirari,solo,ましゅまろ☆キッス,Marshmallow☆Kiss,5,27,125.16129,388,88,124,145
774,317,5029,4,"Mizumoto Yukari, Mimura Kanako, Kobayakawa Sae, Sakuma Mayu, Hayami Kanade",,あいくるしい,Aikurushii,101,28,130.714286,334,157,82,0
775,324,5031,2,"Kobayakawa Sae, Koshimizu Sachiko, Shirasaka Koume, Himekawa Yuki, Hoshi Syoko",,Lunatic Show,Lunatic Show,101,29,118.758621,600,90,93,0
776,325,9011,4,"Shiina Noriko, Mimura Kanako, Morikubo Nono, Oikawa Shizuku, Totoki Airi",,Sweet Witches' Night ～6人目はだぁれ～,Sweet Witches' Night ~Rokuninme wa Daare~,101,29,123.947368,306,190,278,0
777,339,5017,4,"Maekawa Miku, Abe Nana, Tada Riina, Kimura Natsuki",,Wonder goes on!!,Wonder goes on!!,1,8,125.393258,113,8,0,0
778,339,5017,4,"Maekawa Miku, Abe Nana, Tada Riina, Kimura Natsuki",,Wonder goes on!!,Wonder goes on!!,2,13,125.393258,243,14,0,0
779,339,5017,4,"Maekawa Miku, Abe Nana, Tada Riina, Kimura Natsuki",,Wonder goes on!!,Wonder goes on!!,3,18,125.393258,396,26,44,0
780,339,5017,4,"Maekawa Miku, Abe Nana, Tada Riina, Kimura Natsuki",,Wonder goes on!!,Wonder goes on!!,4,25,125.393258,530,48,62,0
786,340,2008,2,"Kanzaki Ranko, Ninomiya Asuka",,双翼の独奏歌,Souyoku no Aria,1,9,121.411765,106,60,0,0
787,340,2008,2,"Kanzaki Ranko, Ninomiya Asuka",,双翼の独奏歌,Souyoku no Aria,2,14,121.411765,160,68,0,0
788,340,2008,2,"Kanzaki Ranko, Ninomiya Asuka",,双翼の独奏歌,Souyoku no Aria,3,19,121.411765,269,60,57,0
789,340,2008,2,"Kanzaki Ranko, Ninomiya Asuka",,双翼の独奏歌,Souyoku no Aria,4,27,121.411765,274,164,261,0
795,341,9016,4,"Koshimizu Sachiko, Sakuma Mayu, Nitta Minami, Sagisawa Fumika, Honda Mio",,イリュージョニスタ !,Illusionista!,1,9,126.666667,136,32,0,0
796,341,9016,4,"Koshimizu Sachiko, Sakuma Mayu, Nitta Minami, Sagisawa Fumika, Honda Mio",,イリュージョニスタ !,Illusionista!,2,14,126.666667,186,76,0,0
797,341,9016,4,"Koshimizu Sachiko, Sakuma Mayu, Nitta Minami, Sagisawa Fumika, Honda Mio",,イリュージョニスタ !,Illusionista!,3,19,126.666667,256,87,34,0
798,341,9016,4,"Koshimizu Sachiko, Sakuma Mayu, Nitta Minami, Sagisawa Fumika, Honda Mio",,イリュージョニスタ !,Illusionista!,4,26,126.666667,360,233,150,0
799,86,3016,2,Takagaki Kaede,solo,こいかぜ,Koikaze,1,6,129.75,38,40,0,0
800,86,3016,2,Takagaki Kaede,solo,こいかぜ,Koikaze,2,12,130.125,72,96,0,0
801,86,3016,2,Takagaki Kaede,solo,こいかぜ,Koikaze,3,18,130.125,226,95,57,0
802,86,3016,2,Takagaki Kaede,solo,こいかぜ,Koikaze,4,26,129.75,251,135,250,0
803,320,2003,1,"Futaba Anzu, Moroboshi Kirari",,あんきら ! ？狂騒曲,AnKira!? Kyousoukyoku,5,30,125.268293,529,122,298,49
804,8,1008,4,"Shimamura Uzuki, Mimura Kanako, Ogata Chieri, Maekawa Miku, Futaba Anzu, Shibuya Rin, Tada Riina, Nitta Minami, Kanzaki Ranko, Anastasia, Honda Mio, Akagi Miria, Jougasaki Rika, Moroboshi Kirari",,ススメ☆オトメ ～jewel parade～,Susume☆Otome ~jewel parade~,5,28,127.384615,221,144,195,131
805,328,2005,4,"Hayasaka Mirei, Morikubo Nono, Hoshi Syoko",,∀NSWER,ANSWER,5,30,122.022472,614,71,85,118
806,4,1004,4,"Shimamura Uzuki, Ogata Chieri, Abe Nana, Shibuya Rin, Honda Mio",,メッセージ,Message,5,28,120.5287059,350,85,200,103
807,326,2004,3,"Honda Mio, Takamori Aiko, Hino Akane",,情熱ファンファンファーレ,Jounetsu Fun Fanfare,5,29,120.0,455,37,302,64
808,22,5004,4,"Shimamura Uzuki, Shibuya Rin, Honda Mio",,できたて Evo! Revo! Generation!,Dekitate Evo! Revo! Generation!,5,29,128.275862,519,60,180,154
809,320,2003,1,"Futaba Anzu, Moroboshi Kirari",,あんきら ! ？狂騒曲,AnKira!? Kyousoukyoku,101,30,125.268293,508,158,291,0
810,328,2005,4,"Hayasaka Mirei, Morikubo Nono, Hoshi Syoko",,∀NSWER,ANSWER,101,30,122.022472,614,71,85,118
811,326,2004,3,"Honda Mio, Takamori Aiko, Hino Akane",,情熱ファンファンファーレ,Jounetsu Fun Fanfare,101,29,120.0,455,50,345,20
817,342,2009,3,"Jougasaki Mika, Jougasaki Rika",,Twin☆くるっ★テール,Twin☆kle★Tail,1,9,117.707006,95,60,0,0
818,342,2009,3,"Jougasaki Mika, Jougasaki Rika",,Twin☆くるっ★テール,Twin☆kle★Tail,2,14,117.707006,175,70,0,0
819,342,2009,3,"Jougasaki Mika, Jougasaki Rika",,Twin☆くるっ★テール,Twin☆kle★Tail,3,19,117.707006,349,36,14,0
820,342,2009,3,"Jougasaki Mika, Jougasaki Rika",,Twin☆くるっ★テール,Twin☆kle★Tail,4,26,117.707006,557,51,58,0
826,343,1033,4,"Domyoji Karin, Wakiyama Tamami, Hamaguchi Ayame",,キミのそばでずっと,Kimi no Soba de Zutto,1,7,127.578947,53,52,0,0
